Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
34,31,Se,,,0, ,(3/2-), ,33,4,ms,0.033,0.004,ECP,100, ,EC+B+,100, , , , , , , , , ,,,,,-2085,424,13917.051,312,14391,586,776,362,8170,5,64964552,322,-33020,300,
34,33,Se,,,0, , , ,136,12,ms,0.136,0.012,EC+B+,100, ,B+P,0.5,0.1, , , , , , , , ,-13790,405,,,-2083.99,77,10006.936,67,12991,211,1844.18,67,8369.534,1000,66949994,72000,-46580.289,67068,
34,35,Se,,,0, ,1/2-, ,27.4,2,s,27.4,0.2,EC+B+,100, ,ECP,0.052,0.008, , , , , , , , ,-10175.236,42029,-25715,259,-2381.41,263,6677.465,32,10316.58,157,4829.16,237,8503.707,22,68939414.847,1599,-56434.706,1490,
34,37,Se,,,0, ,(5/2-), ,4.74,5,m,284,3,EC+B+,100, , , , , , , , , , , , ,-6644.089,6082,-19792.20,15,-2913.19,5,4746.59,5,9287.93,3,6093.60,50,8586.06,39,70932209.432,3000,-63146.507,2794,
34,39,Se,,,0, ,9/2+, ,7.15,8,h,25740,290,EC+B+,100, , , , , , , , ,0.87, , , ,-4579.912,10388,-17236.96,7,-3551.64,8,2725.36,8,8430.52,8,7286.56,8,8641.558,102,72926754.883,7969,-68227.387,7424,
34,41,Se,,,0, ,5/2+, ,119.78,5,d,10348990,4320,EC,100, , , , , , , , ,0.683, ,1.1, ,-3062.472,4285,-14952.65,6,-4687.9,84,864.714,887,8027.60,7,8598.40,169,8678.913,1,74922522.871,78,-72169.481,73,
34,43,Se,4.1395,18,0, ,1/2-, ,STABLE, , , , , , , , , , , , , , ,0.5350422, , , ,-1364.68,2810,-12381.74,9,-5726.88,8,-683.17,169,7418.86,6,9597.08,89,8694.69,1,76919914.15,67,-74599.488,62,
34,45,Se,,,0, ,7/2+, ,3.27E+5,28,Y,10319114793690,883593927290,B-,100, , , , , , , , ,-1.018, ,-1, ,150.576,1038,-10536.62,4,-6485.41,23,-2281.41,5,6962.83,13,10389.49,10,8695.592,3,78918499.251,238,-75917.459,223,
34,47,Se,,,0, ,1/2-, ,18.45,12,m,1107,7,B-,100, , , , , , , , , , , , ,1588.046,1389,-8571.31,47,-7601.04,99,-3855.684,2824,6700.85,35,11463.47,3,8685.999,12,80917993.044,1065,-76388.988,992,
34,49,Se,,,0, ,9/2+, ,22.3,2,m,1338,12,B-,100, , , , , , , , , , , , ,3673.179,4839,-5913.19,3,-8238.85,37,-5671.207,4,5817.97,3,12524.08,5,8658.555,37,82919118.609,3259,-75340.530,3036,
34,51,Se,,,0, ,(5/2)+, ,32.9,3,s,32.9,0.3,B-,100, , , , , , , , , , , , ,6161.833,4030,-2701.87,26,-8546.86,3,-9224.492,4,4537.23,3,13849.05,4,8610.304,31,84922260.759,2804,-72413.636,2613,
34,53,Se,,,0, ,(3/2+), ,5.50,14,s,5.5,0.14,B-,100, ,B-N,0.36,0.08, , , , , , , , ,7465.552,3877,1134.81,4,-7874.61,3,-10808.218,4,3994.28,3,14752.95,4,8529.091,26,86928688.618,2405,-66426.125,2241,
34,55,Se,,,0, ,(5/2+), ,0.43,5,s,0.43,0.05,B-,100, ,B-N,7.8,2.5, , , , , , , , ,9281.872,4951,3652.25,5,-8293.89,5,-12194.391,298,3179.51,5,15562,196,8435.279,42,88936669.059,4003,-58992.391,3729,
34,57,Se,,,0, , , ,0.27,5,s,0.27,0.05,B-,100, ,B-N,21,10, , , , , , , , ,10527.169,433159,5348.86,433,-8927,527,-13684.124,590,2851.22,544,16539,589,8334.837,4760,90945700,465000,-50580.124,433145,
34,59,Se,,,0, ,(1/2+), , , , , , ,B-,100, , , , , , , , , , , , ,12175,588,7446,400,-9411,565,,,2063,565,17023,640,8223,4,92956290,429,-40716,400,
34,61,Se,,,0, , ,GT,392, ,ns,0.000000392, ,B-2N, , ,B-N, , ,B-, , , , , , , ,13311,582,8869,583,,,,,1728,707,,,8112,5,94967300,537,-30460,500,
35,34,Br,,,0, ,(5/2-),LT,24, ,ns,0.000000024, ,P,100, , , , , , , , , , , , ,-13825,403,,,-1747.33,95,10175.236,42,15539,262,-641.00,42,8344.902,609,68950338.413,45092,-46259.470,42003,
35,36,Br,,,0, ,(5/2)-, ,21.4,6,s,21.4,0.6,EC+B+,100, , , , , , , , , , , , ,-10175.212,128845,-23473,200,-2340.11,5,6644.089,6,13148.12,16,1861.50,6,8481.462,76,70939342.156,5799,-56502.418,5402,
35,38,Br,,,0, ,1/2-, ,3.4,2,m,204,12,EC+B+,100, , , , , , , , , , , , ,-7095.725,9801,-17778.22,11,-2960.22,33,4579.912,10,12657.05,7,3068.27,8,8568.103,100,72931671.621,7800,-63647.475,7266,
35,40,Br,,,0, ,3/2-, ,96.7,13,m,5802,78,EC+B+,100, , , , , , , , ,0.76, , , ,-4783.385,9167,-14846.49,5,-3638.83,6,3062.472,4,11890.17,7,4182.78,4,8627.649,57,74925810.57,4600,-69107.009,4285,
35,42,Br,,,0, ,3/2-, ,57.04,12,h,205340,430,EC+B+,100, , , , , , , , ,0.9738, ,0.53, ,-3065.366,3424,-12292.41,5,-4706.98,5,1364.679,2812,11017.06,10,5271.83,281,8666.806,37,76921379.194,3017,-73234.809,2811,
35,44,Br,4.1629,21,0, ,3/2-, ,STABLE, , , , , , , , , , , , , , ,2.1064, ,0.313, ,-1625.778,3333,-9961.08,106,-5458.75,135,-150.576,1045,10687.19,4,6331.06,103,8687.594,13,78918337.601,1095,-76068.035,1020,
35,46,Br,4.1599,21,0, ,3/2-, ,STABLE, , , , , , , , , , , , , , ,0.129, ,0.2615, ,-280.853,471,-8155.00,117,-6485.63,195,-1588.046,1393,10159.36,140,7506.55,137,8695.946,12,80916288.206,1049,-77977.034,978,
35,48,Br,,,0, ,3/2-, ,2.374,4,h,8546,14,B-,100, , , , , , , , , , , , ,976.924,3795,-6493.24,4,-7802.58,7,-3673.179,5,9586.37,4,8708.80,4,8693.384,46,82915175.289,4073,-79013.709,3795,
35,50,Br,,,0, ,3/2-, ,2.90,6,m,174,4,B-,100, , , , , , , , , , , , ,2904.861,3671,-4207.45,3,-8467.08,4,-6161.833,4,8863.70,26,9916.72,4,8673.592,36,84915645.759,3304,-78575.469,3078,
35,52,Br,,,0, ,(5/2-), ,55.68,12,s,55.68,0.12,B-,100, ,B-N,2.6,0.04, , , , , , , , ,6817.845,3181,1302.67,3,-6647.27,4,-7465.551,4,6330.74,4,10677.48,4,8605.91,36,86920674.018,3404,-73891.676,3171,
35,54,Br,,,0, ,(3/2- 5/2-), ,4.357,22,s,4.357,0.022,B-,100, ,B-N,13.8,0.4, , , , , , , , ,8261.522,3904,3345.71,4,-7510.03,4,-9281.872,5,5629.62,5,11679.04,5,8530.779,37,88926704.559,3504,-68274.263,3264,
35,56,Br,,,0, , , ,0.543,4,s,0.543,0.004,B-,100, ,B-N,19.5,2.6, , , , , , , , ,9866.671,4190,5780.64,4,-7914.3,5,-10527.17,433,5178.31,5,12596.05,330,8441.923,39,90934398.618,3804,-61107.294,3544,
35,58,Br,,,0, ,(5/2-), ,102,10,ms,0.102,0.01,B-,100, ,B-N,68,7, , , , , , , , ,11245.765,430823,7807.77,431,-8517,524,-12174.23,588,4728.74,431,13455,588,8345.598,4632,92943220,462500,-52890.230,430816,
35,60,Br,,,0, , ,GE,150, ,ns,0.00000015, ,B-,100, ,B-N,34, , , , , , , , , ,12388,299,9506,298,-9299,499,-13311.0,582,4442,423,14257,582,8244,3,94953010,320,-43771,298,
35,62,Br,,,0, ,(3/2-),GT,300, ,ns,0.0000003, ,B-, , , , , , , , , , , , , ,13368,421,10953,401,,,,,3963,499,,,8140,4,96963440,430,-34055,401,
36,33,Kr,,,0, ,(5/2-), ,28,1,ms,0.028,0.001,EC+B+,100, ,B+P,99, , , , ,-3/2, , , , ,,,,,-1840,500,13824.47,403,,,932,477,8133,6,68965180,430,-32435,401,
36,35,Kr,,,0, ,(5/2-), ,100,3,ms,0.1,0.003,EC+B+,100, ,ECP,2.1,0.7, , , , , , , , ,-14267,420,,,-2171.83,145,10175.213,129,13298,238,2190.56,130,8327.13,1814,70950265.696,138238,-46327.205,128769,
36,37,Kr,,,0, ,3/2-, ,27.3,10,s,27.3,1,EC+B+,100, ,ECP,0.25,0.03, , , , , , , , ,-10470,200,-26293,500,-2541.96,7,7095.724,10,10682.49,10,4778.98,7,8460.184,90,72939289.195,7061,-56551.751,6578,
36,39,Kr,4.2097,41,0, ,5/2+, ,4.60,7,m,276,4,EC+B+,100, , , , , , , , ,-0.531, ,1.12, ,-7104.929,8189,-20478.93,9,-3602.03,9,4783.385,9,10063.10,8,6324.44,10,8553.439,108,74930945.746,8700,-64323.624,8103,
36,41,Kr,4.2082,37,0, ,5/2+, ,74.4,6,m,4464,36,EC+B+,100, , , , , , , , ,-0.583, ,0.94, ,-5338.951,2351,-17761.68,217,-4366.97,8,3065.366,3,9227.05,4,7169.34,10,8616.836,25,76924670,2100,-70169.443,1956,
36,43,Kr,4.2034,32,0, ,1/2-, ,35.04,10,h,126140,360,EC+B+,100, , , , , , , , ,0.536, , , ,-3639.271,4091,-15578.16,5,-4697.69,3,1625.778,4,8335.30,4,8279.07,5,8657.112,44,78920082.945,3742,-74442.257,3486,
36,45,Kr,4.1952,26,0, ,7/2+, ,2.29E+5,11,Y,7226536048180,347126185720,EC,100, , , , , , , , ,-0.908, ,0.644, ,-2239.511,5019,-13592.03,215,-5521.61,108,280.853,1453,7874.15,125,9096.16,147,8682.82,13,80916589.714,1152,-77696.181,1074,
36,47,Kr,4.1871,23,0, ,9/2+, ,STABLE, , , , , , , , , , , , , , ,-0.970669, ,0.26, ,-920.004,2329,-11874.15,3,-6498.09,22,-976.924,4,7470.17,1,9780.94,97,8695.729,0,82914126.518,9,-79990.633,9,
36,49,Kr,4.1846,22,0, ,9/2+, ,10.739,14,Y,338889830,441800,B-,100, , , , , , , , ,-1.005, ,0.443, ,687,2000,-9792.68,3,-7516.26,223,-2904.862,4,7112.31,200,10986.22,26,8698.562,24,84912527.262,2147,-81480.331,2000,
36,51,Kr,4.1984,27,0, ,5/2+, ,76.3,5,m,4578,30,B-,100, , , , , , , , ,-1.023, ,-0.3, ,3888.269,246,-6033.85,32,-7793.91,3,-6817.846,3,5515.17,25,12366.24,3,8675.283,3,86913354.759,264,-80709.522,246,
36,53,Kr,4.2286,54,0, ,3/2(+), ,3.15,4,m,189,2.4,B-,100, , , , , , , , ,-0.33, ,0.16, ,5176.604,5834,-1998.11,215,-6547.06,3,-8261.522,4,4915.82,3,13108.80,4,8614.815,24,88917835.45,2300,-76535.785,2142,
36,55,Kr,4.2543,81,0, ,5/2(+), ,8.57,4,s,8.57,0.04,B-,100, , , , , , , , ,-0.583, ,0.3, ,6771.072,8115,319.12,7,-6972.76,3,-9866.671,4,4086.03,291,14262.64,4,8541.751,25,90923806.31,2400,-70973.965,2236,
36,57,Kr,4.2794,107,0, ,1/2+, ,1.286,10,s,1.286,0.01,B-,100, ,B-N,1.95,0.11, , , , ,-0.413, , , ,8483.907,8224,2565.13,7,-7568.52,5,-11245.764,431,3437.99,4,15192.16,7,8458.108,27,92931147.174,2700,-64135.994,2515,
36,59,Kr,4.3067,136,0, ,1/2(+), ,0.114,3,s,0.114,0.003,B-,100, ,B-N,2.87,0.18, , , , ,-0.41, , , ,9732.58,27513,4332.55,19,-8003.7,434,-12387.913,299,2882.46,22,16048,301,8365.995,196,94939710.923,20000,-56158.913,18630,
36,61,Kr,,,0, ,(3/2+), ,63,4,ms,0.063,0.004,B-,100, ,B-N,6.7,0.6, , , , , , , , ,11095.645,130423,5859.54,130,-9133,420,-13368.492,422,2415.13,132,16549,325,8269.864,1344,96949088.784,140000,-47423.492,130408,
36,63,Kr,,,0, , , ,13,+34-6,ms,0.013, ,B-,100, ,B-N,11,7, , , , , , , , ,12362,401,7538,401,-10725,641,,,2520,499,17798,566,8178,4,98958390,430,-38759,401,
36,65,Kr,,,0, , ,GT,635, ,ns,0.000000635, ,B-2N, , ,B-N, , ,B-, , , , , , , ,13717,541,9048,503,,,,,2147,643,,,8081,5,100968730,540,-29128,503,
37,36,Rb,,,0, , ,LT,30, ,ns,0.00000003, ,P,0, ,EC+B+, , , , , , , , , , ,-14131,448,,,-2247,205,10469.751,200,15823,539,-570,200,8306,3,72950529,215,-46082,200,
37,38,Rb,,,0, ,3/2(-), ,19.0,12,s,19,1.2,EC+B+,100, , , , , , , , , , , , ,-10600,220000,-24463,100,-3141.19,6,7104.93,8,13374.00,3,2175.83,233,8448.275,16,74938573.201,1266,-57218.694,1180,
37,40,Rb,4.2356,80,0, ,3/2-, ,3.78,4,m,226.8,2.4,EC+B+,100, , , , , , , , ,0.654468, ,0.7, ,-7027.055,8023,-18654.17,34,-3607.93,7,5338.951,2351,12422.73,161,3105.75,4,8537.339,17,76930401.6,1400,-64830.492,1304,
37,42,Rb,4.2284,65,0, ,5/2+, ,22.9,5,m,1374,30,EC+B+,100, , , , , , , , ,3.3579, ,-0.12, ,-5326.096,8653,-15700.36,8,-4120.89,5,3639.272,4,11938.88,4,3913.68,216,8601.142,27,78923989.864,2300,-70802.985,2142,
37,44,Rb,4.2213,51,0, ,3/2-, ,4.572,4,h,16459,14,EC+B+,100, , , , , , , , ,2.0595, ,0.398, ,-3928.545,5817,-13216.53,6,-4646.78,6,2239.511,5,11352.52,5,4852.29,5,8645.513,61,80918993.927,5264,-75456.670,4904,
37,46,Rb,4.2058,28,0, ,5/2-, ,86.2,1,d,7447680,8640,EC,100, , , , , , , , ,1.4249, ,0.196, ,-2273.024,6424,-11131.89,6,-5427.51,254,920.003,2329,10954.14,4,5767.82,233,8675.218,28,82915114.182,2500,-79070.630,2329,
37,48,Rb,4.2036,23,0, ,5/2-, ,STABLE, , , , , , , , , , , , , , ,1.35298, ,0.277, ,-1064.051,2813,-9589.08,124,-6615.21,98,-686.999,20,10479.68,219,7016.97,0,8697.441,0,84911789.7376,534,-82167.33050,498,
37,50,Rb,4.1989,21,0, ,3/2-, ,4.97E+10,3,Y,1.5683792209372224e18,9.4670777923776e15,B-,100, , , , , , , , ,2.75131, ,0.132, ,282.275,6,-8146.02,1,-8009,4,-3888.269,246,9922.11,20,8621.10,1,8710.983,0,86909180.531,6,-84597.791,6,
37,52,Rb,4.2391,74,0, ,3/2-, ,15.32,10,m,919,6,B-,100, , , , , , , , ,2.3836, ,0.144, ,4496.628,5427,-1862.09,5,-5561.84,6,-5176.603,6,7174.71,5,9310.07,6,8664.189,61,88912278.137,5825,-81712.388,5427,
37,54,Rb,4.2723,131,0, ,3/2(-), ,58.2,3,s,58.2,0.3,B-,100, , , , , , , , ,2.1815, ,0.19, ,5906.89,8873,131.77,8,-6278.28,8,-6771.072,8,6451.95,10,10074.76,8,8607.561,86,90916537.265,8375,-77745.037,7801,
37,56,Rb,4.3048,187,0, ,5/2-, ,5.84,2,s,5.84,0.02,B-,100, ,B-N,1.39,0.07, , , , ,1.4095, ,0.18, ,7465.938,8876,2176.14,9,-6770.55,8,-8483.907,8,5918.78,10,11139.55,8,8540.92,84,92922039.325,8406,-72619.901,7830,
37,58,Rb,4.3391,248,0, ,5/2-, ,377.7,8,ms,0.3777,0.0008,B-,100, ,B-N,8.7,0.3, , , , ,1.3336, ,0.211, ,9228.058,20204,4882.90,20,-7209.11,21,-9732.58,28,5400.03,20,11832.69,24,8460.208,213,94929262.568,21734,-65891.493,20245,
37,60,Rb,4.4231,395,0, ,3/2+, ,169.1,6,ms,0.1691,0.0006,B-,100, ,B-N,25.5,0.9,B-2N, , , ,1.841, ,0.7, ,10062.317,3888,6333.70,9,-8053.82,431,-11095.645,130,5236.11,4,12728.43,21,8376.186,20,96937177.118,2052,-58519.137,1912,
37,62,Rb,,,0, ,(3/2+), ,54,4,ms,0.054,0.004,B-,100, ,B-N,19.8,2,B-2N, , , , , , , ,11400.258,6223,7230.64,5,-9775,298,-12362.143,401,4823.31,17,14099,298,8295.3,41,98945119.192,4327,-51121.143,4030,
37,64,Rb,,,0, ,(3/2+), ,32,5,ms,0.032,0.005,B-,100, ,B-N,28,4, , , , , , , , ,12480,200,8905,200,-11214,448,-13717.0,541,4669,201,15082,448,8209,2,100954004,215,-42845,200,
37,66,Rb,,,0, , , ,23,+13-9,ms,0.023, ,B-,100, ,B-N, , ,B-2N, , , , , , , ,13814,446,10480,406,,,,,3973,499,,,8117,4,102963920,430,-33608,401,
38,35,Sr,,,0, , ,GT,25, ,ms,0.025, ,EC+B+,100, ,ECP,0, , , , , , , , , ,,,,,-1941,566,14132.0,448,,,909,641,8102,5,72965700,430,-31950,401,
38,37,Sr,,,0, ,(3/2-), ,88,3,ms,0.088,0.003,EC+B+,100, ,ECP,5.2,0.9, , , , , , , , ,-14799,372,,,-2716.4,255,10600.0,220,13863,242,1991.66,220,8296.511,2933,74949952.77,236183,-46618.694,220003,
38,39,Sr,4.2569,44,0, ,5/2(+), ,9.0,2,s,9,0.2,EC+B+,100, ,ECP,0.08,0.03, , , , ,-0.348, ,1.4, ,-11365,203,-27395,300,-3676.6,10,7027.056,8,11627.11,35,4613.33,8,8435.918,103,76937945.455,8500,-57803.436,7918,
38,41,Sr,4.2586,39,0, ,3/2(-), ,2.25,10,m,135,6,EC+B+,100, , , , , , , , ,-0.474, ,0.661, ,-7659.056,79620,-21375,298,-3578.18,12,5326.096,9,10374.26,11,5830.44,9,8523.82,106,78929707.664,9000,-65476.889,8383,
38,43,Sr,4.2547,34,0, ,1/2-, ,22.3,4,m,1338,24,EC+B+,100, , , , , , , , ,0.543, , , ,-5815.214,6245,-18451.29,7,-3783.6,4,3928.545,6,9287.98,5,6641.63,4,8587.354,39,80923211.394,3358,-71528.125,3128,
38,45,Sr,4.2455,27,0, ,7/2+, ,32.41,3,h,116680,110,EC+B+,100, , , , , , , , ,-0.829, ,0.781, ,-4591.941,19844,-16804.83,9,-4780.26,8,2273.024,7,8858.87,9,7898.77,7,8638.407,82,82917554.374,7336,-76797.606,6834,
38,47,Sr,4.2304,21,0, ,9/2+, ,64.849,7,d,5602950,600,EC,100, , , , , , , , ,-1, ,0.282, ,-3261.157,19173,-15280.17,5,-5832.01,3,1064.05,281,8525.03,3,8633.29,4,8675.718,33,84912932.043,3020,-81103.280,2813,
38,49,Sr,4.2249,19,0, ,9/2+, ,STABLE, , , , , , , , , , , , , , ,-1.0928, ,0.305, ,-1861.69,1128,-13668.29,14,-7314.35,1,-282.275,8,8428.29,1,9422.04,20,8705.236,0,86908877.49615,548,-84880.06595,510,
38,51,Sr,4.2407,23,0, ,5/2+, ,50.563,25,d,4368640,2160,B-,100, , , , , , , , ,-1.1481, ,-0.271, ,1499.336,1615,-9981.32,150,-7153.6,200,-4496.629,5,6358.72,9,10888.99,18,8705.922,1,88907450.808,98,-86209.017,92,
38,53,Sr,4.2740,46,0, ,5/2+, ,9.65,6,h,34740,220,B-,100, , , , , , , , ,-0.885, ,0.045, ,2699.369,5247,-5229.18,6,-5367.32,5,-5906.89,10,5775.12,6,11576.49,8,8663.875,60,90910195.958,5853,-83651.927,5453,
38,55,Sr,4.3026,75,0, ,5/2+, ,7.43,3,m,445.8,1.8,B-,100, , , , , , , , ,-0.7926, ,0.258, ,4141.319,11697,-3340.66,12,-5974.97,8,-7465.937,11,5289.79,8,12602.37,10,8612.787,81,92914024.311,8109,-80085.838,7554,
38,57,Sr,4.3305,102,0, ,1/2+, ,23.90,14,s,23.9,0.14,B-,100, , , , , , , , ,-0.537, , , ,6089.296,7240,-839.41,9,-6570.5,6,-9228.058,21,4345.16,6,13845.74,6,8549.111,61,94919355.84,6239,-75119.551,5812,
38,59,Sr,4.3625,135,0, ,1/2+, ,429,5,ms,0.429,0.005,B-,100, ,B-N,0.05, , , , , ,-0.4983, , , ,7539.969,7521,1683.12,7,-6870.38,4,-10062.317,4,3728.61,9,14516.08,5,8471.856,35,96926374.776,3633,-68581.454,3385,
38,61,Sr,4.4495,225,0, ,3/2+, ,0.269,1,s,0.269,0.001,B-,100, ,B-N,0.1,0.019, , , , ,-0.261, ,0.84, ,8128.424,8138,1702.06,9,-8787.4,19,-11400.258,6,4169.61,6,15441.23,17,8402.552,48,98932880.511,5089,-62521.401,4741,
38,63,Sr,,,0, ,(5/2-), ,118,3,ms,0.118,0.003,B-,100, ,B-N,2.37,0.14, , , , , , , , ,9736.095,11055,3931.17,14,-10326.33,131,-12479.907,200,3575.32,11,16366.81,21,8324.74,84,100940606.266,9103,-55324.907,8480,
38,65,Sr,,,0, , , ,53,10,ms,0.053,0.01,B-,100, ,B-N, , ,B-2N, , , , , , , ,11035,196,5680,196,-11088,446,-13814.0,446,3334,207,17004,357,8243,2,102949090,210,-47422,196,
38,67,Sr,,,0, , , ,39,5,ms,0.039,0.005,B-,100, ,B-N, , ,B-2N, , , , , , , ,12660,1428,7382,643,-11908,711,,,2576,585,,,8156,5,104958550,540,-38610,503,
38,69,Sr,,,0, , ,GT,395, ,ns,0.000000395, ,B-2N, , ,B-N, , ,B-, , , , , , , ,13465,862,9082,862,,,,,2181,922,,,8064,7,106968975,751,-28900,700,
39,38,Y,,,0, ,(5/2+), ,57,+22-12,ms,0.057, ,EC+B+,100, ,P, , ,ECP, , , , , , , ,-14399,448,,,-2782,285,11364.436,203,16030,362,-520,200,8278,3,76950146,218,-46439,203,
39,40,Y,,,0, ,(5/2+), ,14.8,6,s,14.8,0.6,EC+B+,100, ,ECP, , , , , , , , , , ,-11048,310,-25039,407,-3024.05,79,7659.056,80,13716,308,1932.86,80,8416.967,1002,78937930,85000,-57817.833,79177,
39,42,Y,,,0, ,(5/2+), ,70.4,10,s,70.4,1,EC+B+,100, , , , , , , , , , , , ,-8252.773,94236,-19424,300,-3307.34,6,5815.213,6,12636.08,8,2690.42,6,8505.902,67,80929454.283,5802,-65712.912,5405,
39,44,Y,,,0, ,9/2+, ,7.08,8,m,425,5,EC+B+,100, , , , , , , , , , , , ,-6294.012,19707,-16645.70,22,-3827.6,19,4591.941,20,12212.89,19,3484.58,20,8573.656,224,82922484.025,20000,-72205.665,18631,
39,46,Y,,,0, ,(1/2)-, ,2.68,5,h,9650,180,EC+B+,100, , , , , , , , , , , , ,-4666.934,20026,-14491.75,20,-4810.37,20,3261.157,19,12019.01,19,4481.52,19,8628.148,223,84916433.039,20360,-77842.123,18965,
39,48,Y,4.2498,22,0, ,1/2-, ,79.8,3,h,287280,1080,EC+B+,100, , , , , , , , ,-0.19, , , ,-3671.239,4296,-13120.68,4,-6372.66,259,1861.69,112,11806.60,14,5784.26,112,8674.844,13,86910876.102,1210,-83018.376,1128,
39,50,Y,4.2430,21,0, ,1/2-, ,STABLE, , , , , , , , , , , , , , ,-0.1374154, , , ,-2832.792,2776,-12150.80,6,-7965.94,161,-1499.335,1615,11480.65,220,7075.71,161,8713.978,18,88905841.205,1730,-87708.352,1612,
39,52,Y,,,0, ,1/2-, ,58.51,6,d,5055260,5180,B-,100, , , , , , , , ,0.1641, , , ,1544.271,1840,-5650.08,185,-4178.42,184,-2699.368,6,7928.55,245,7692.14,281,8684.941,20,90907298.066,1978,-86351.295,1843,
39,54,Y,4.3052,65,0, ,1/2-, ,10.18,8,h,36650,290,B-,100, , , , , , , , ,-0.139, , , ,2894.875,10483,-3839.45,10,-4939.68,12,-4141.319,13,7481.98,14,8648.77,11,8648.905,113,92909578.422,11259,-84227.157,10488,
39,56,Y,4.3284,87,0, ,1/2-, ,10.3,1,m,618,6,B-,100, , , , , , , , ,-0.16, , , ,4451.092,6772,-2010.84,7,-5888.73,10,-6089.297,9,6928.70,9,9652.11,7,8604.973,71,94912818.711,7277,-81208.848,6779,
39,58,Y,4.3580,115,0, ,(1/2-), ,3.75,3,s,3.75,0.03,B-,100, ,B-N,0.055,0.004, , , , ,-0.12, , , ,6821.237,6707,1246.11,7,-5926.44,10,-7539.97,8,5856.85,9,10486.24,11,8541.522,69,96918280.286,7213,-76121.424,6719,
39,60,Y,4.4658,223,0, ,(5/2+), ,1.484,7,s,1.484,0.007,B-,100, ,B-N,1.77,0.19, , , , ,3.18, ,1.55, ,6970.792,12409,2565.57,11,-7183.25,21,-8128.424,8,6426.37,10,11515.69,7,8476.755,67,98924154.288,7114,-70649.825,6627,
39,62,Y,4.4863,244,0, ,(5/2+), ,0.45,2,s,0.45,0.02,B-,100, ,B-N,1.94,0.18, , , , , , , , ,8104.955,10933,3245.12,11,-8966.78,7,-9736.095,11,5804.92,13,12529.07,10,8413.391,70,100930154.138,7614,-65061.002,7092,
39,64,Y,,,0, ,(5/2+), ,0.23,2,s,0.23,0.02,B-,100, ,B-N,8,3, , , , , , , , ,9357.759,14518,5058.82,14,-9761.35,12,-11035.575,196,5355.71,12,13587.24,68,8342.638,109,102937243.208,12028,-58457.575,11204,
39,66,Y,,,0, , , ,95,9,ms,0.095,0.009,B-,100, ,B-N,82, ,B-2N, , , , , , , ,10194.373,1336749,6382.38,1337,-10850,1352,-12660.361,1428,5278,1395,14453,1370,8269.02,12730,104944959,1435000,-51270.361,1336694,
39,68,Y,,,0, , , ,33.5,30,ms,0.033,0.003,B-,100, ,B-2N, , ,B-N, , , , , , , ,12015,1230,8114,664,-11181,643,-13464.0,862,4383,711,14863,783,8182,5,106954520,540,-42364,503,
39,70,Y,,,0, ,(5/2+), ,25,5,ms,0.025,0.005,B-,100, , , , , , , , , , , , ,12992,862,10082,806,,,,,3975,919,,,8096,6,108964358,751,-33200,700,
40,39,Zr,,,0, , , ,56,30,ms,0.06,0.03,EC+B+,100, ,ECP, , , , , , , , , , ,-15120,583,,,-2577,372,11047.833,310,13992,500,1886,423,8267,4,78949790,322,-46770,300,
40,41,Zr,,,0, ,(3/2-), ,5.5,4,s,5.5,0.4,EC+B+,100, ,ECP,0.12,0.02, , , , , , , , ,-11100,411,-27111,411,-2081.62,94,8252.773,94,11171,314,3600.96,94,8394.358,1161,80938314,101000,-57460.139,94081,
40,43,Zr,,,0, ,(1/2-), ,42,2,s,42,2,EC+B+,100, ,ECP, , , , , , , , , , ,-8355.571,151039,-21893,300,-2859.68,11,6294.011,20,10351.68,13,5136.53,8,8488.399,77,82929240.925,6902,-65911.654,6430,
40,45,Zr,,,0, ,(7/2+), ,7.86,4,m,471.6,2.4,EC+B+,100, , , , , , , , , , , , ,-6895.514,7625,-20027.79,15,-4071.98,7,4666.934,20,9824.82,8,6569.73,8,8564.039,76,84921443.198,6902,-73175.189,6430,
40,47,Zr,4.2789,30,0, ,9/2+, ,1.68,1,h,6050,40,EC+B+,100, , , , , , , , ,-0.895, ,0.423, ,-5472.651,7963,-18284.40,7,-4974.45,8,3671.239,4,9449.44,5,7353.02,15,8623.654,48,86914817.339,4450,-79347.137,4146,
40,49,Zr,4.2706,10,0, ,9/2+, ,78.41,12,h,282280,430,EC+B+,100, , , , , , , , ,-1.046, ,0.275, ,-4250.351,23743,-16773.29,59,-6197.2,4,2832.791,3,9318.01,6,7865.51,3,8673.359,35,88908882.332,3310,-84875.561,3083,
40,51,Zr,4.2845,13,0, ,5/2+, ,STABLE, , , , , , , , , , , , , , ,-1.30362, ,-0.176, ,-1257.565,2924,-13305.36,3,-5440.42,10,-1544.271,1846,7194.35,15,8690.47,161,8693.314,1,90905640.223,112,-87895.566,105,
40,53,Zr,,,0, ,5/2+, ,1.61E+6,5,Y,50806650819090,1577846298730,B-,100, , , , , , , , , , , , ,90.806,1484,-8740.06,182,-3337.93,47,-2894.875,10,6734.32,45,9594.51,9,8671.62,5,92906470.646,490,-87122.032,457,
