energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
108.7, ,0.068,0.015,212.342,103.636,,,M1+E2,0.22,LT,3.8, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
109.1,0.1, , ,179.1,70.51,,, ,,, , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
115.4,0.35,0.0026,0.0008,201.594,86.469,,,[M1+E2],,,10.5, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
117.702,0.02,0.169,0.004,212.342,94.645,,,M1+E2,0.30,9,13.0, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
131.101,0.025,0.0857,0.0022,201.594,70.51,,,E1,,,0.266, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
134.285,0.02,0.067,0.003,237.895,103.636,,,[M1+E2],,,8.5, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
139.9,0.1,0.0046,0.0004,303.59,163.34,,,[E1],,,0.227, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
141.74,0.1, , ,212.342,70.51,,, ,,, , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
143.249,0.02,0.443,0.008,237.895,94.645,,,M1+E2,0.29,+16-29,7.4, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
151.414,0.02,0.232,0.024,237.895,86.469,,,M1+E2,0.70,15,5.2, ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
