energy, unc, intensity %, unc,daughter level energy,end level energy,X-ray, shell,multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
15.345, ,0.252, ,212.342, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0382, ,163.34, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0084, ,103.636, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0000051, ,365.93, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0082, ,212.342, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.103, ,70.510, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0153, ,279.71, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.000456, ,201.594, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.00598, ,94.645, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0056, ,279.71, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.000039, ,237.895, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0000142, ,303.59, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0102, ,279.71, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.00278, ,201.594, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.00222, ,201.594, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.00202, ,94.645, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,5.93, ,57.101, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.000004, ,365.93, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0000232, ,237.895, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.4, ,86.469, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.19, ,237.895, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0000083, ,300.48, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0008, ,201.594, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0093, ,300.48, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.000085, ,365.93, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.007, ,300.48, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.00079, ,365.93, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.00111, ,169.152, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.23, ,237.895, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.00063, ,169.152, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,4.42, ,86.469, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.07, ,237.895, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0071, ,300.48, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0000359, ,365.93, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
15.345, ,0.0034, ,169.152, ,X,L3N1, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000059, ,169.152, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00037, ,237.895, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0006, ,300.48, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000001, ,306.05, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0006, ,70.510, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000027, ,212.342, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0000009, ,365.93, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0000015, ,303.59, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000000242, ,279.71, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0044, ,212.342, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00067, ,163.34, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000033, ,212.342, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000147, ,103.636, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0018, ,70.510, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00027, ,279.71, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00000009, ,365.93, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0001, ,279.71, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00000025, ,303.59, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00018, ,279.71, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00014, ,212.342, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000008, ,201.594, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000104, ,94.645, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00000068, ,237.895, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000035, ,94.645, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.104, ,57.101, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000049, ,201.594, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000039, ,201.594, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00000007, ,365.93, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00000041, ,237.895, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00000014, ,300.48, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00016, ,300.48, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.007, ,86.469, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0034, ,237.895, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000014, ,201.594, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00000149, ,365.93, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00012, ,300.48, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000014, ,365.93, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0000194, ,169.152, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0039, ,237.895, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000011, ,169.152, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.0012, ,237.895, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.077, ,86.469, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.000123, ,300.48, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.003, ,0.00000063, ,365.93, ,X,L3N45, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000044, ,300.48, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000106, ,237.895, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.38, ,86.469, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.017, ,237.895, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0004, ,300.48, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.00015, ,201.594, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000102, ,365.93, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000578, ,169.152, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.00031, ,300.48, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000024, ,365.93, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000327, ,169.152, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.00031, ,300.48, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.039, ,237.895, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0031, ,237.895, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.386, ,86.469, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000476, ,365.93, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.00003, ,306.05, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0044, ,169.152, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.015, ,237.895, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.002, ,300.48, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0024, ,70.510, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0174, ,212.342, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000084, ,212.342, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000098, ,212.342, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000069, ,365.93, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000007, ,279.71, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000115, ,303.59, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000559, ,163.34, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.00124, ,103.636, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0007, ,279.71, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.00086, ,70.510, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000025, ,365.93, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.00024, ,279.71, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000244, ,201.594, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000055, ,303.59, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0004, ,279.71, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000118, ,201.594, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.00171, ,94.645, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000211, ,237.895, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0081, ,212.342, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000138, ,201.594, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.000543, ,94.645, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0467, ,57.101, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.104, ,0.0000019, ,365.93, ,X,L1M2, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.227, ,0.0049, ,212.342, ,X,L, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
16.227, ,0.006, ,212.342, ,X,L, , , , , ,93,144,Np,0, ,5/2+, ,2.144E+6,7,Y,67658049289530,220898481820,A,100, , ,3.14, ,3.886, ,4957.3,0.7,91,142,Pa,
