Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
6,3,C,,,0, ,(3/2-), ,126.5,9,ms,0.1265,0.0009,EC+B+,100, ,B+P,61.6, ,B+A,38.4, ,3/2,-1.3914, , , ,,,,,-10653,2003,16494.484,231,14224.61,18,1299.57,236,4337.423,237,9031037.207,2293,28910.972,2137,
6,5,C,,,0, ,3/2-, ,20.364,14,m,1221.8,0.8,EC+B+,100, , , , , , , ,1/2,-0.964, ,0.03426, ,-13654.163,46154,-36221.95,400,-7544.52,9,1981.689,61,13120.59,9,8690.18,6,6676.456,5,11011432.597,64,10649.396,60,
6,7,C,2.4614,34,0, ,1/2-, ,STABLE, , , , , , , , , , , , , ,1/2,0.7024118, , , ,-2220.472,270,-22284.38,100,-10648.36,8,-13436.938,10,4946.31,0,17533.36,132,7469.849,0,13003354.83521,23,3125.00888,21,
6,9,C,,,0, ,1/2+, ,2.449,5,s,2.449,0.005,B-,100, , , , , , , ,3/2,1.32, , , ,9771.705,800,-1061.59,80,-12728.94,83,-19085.098,21,1218.07,80,21079.51,21,7100.169,53,15010599.256,858,9873.144,800,
6,11,C,,,0, , , ,193,13,ms,0.193,0.013,B-,100, ,B-N,32,3, , , , , , , , ,13161.82,22946,7276.67,18,-15052.09,20,-22684.419,205,733.55,18,23369.58,30,6558.024,1020,17022578.672,18641,21031.898,17365,
7,4,N,,,0, ,1/2+, ,830,30,keV,1e-21,1.5e-20,P,100, , , , , , , ,3/2, , , , ,,,,,-5797.91,53,13654.163,46,22567.78,403,-1315.92,46,5364.046,4196,11026090.945,49548,24303.559,46154,
7,6,N,,,0, ,1/2-, ,9.965,4,m,597.9,0.24,EC+B+,100, , , , , , , ,1/2,0.3222, , , ,-17769.951,9530,-34640.45,24,-9495.92,94,2220.472,27,20063.90,104,1943.49,27,7238.863,21,13005738.609,289,5345.481,270,
7,8,N,2.6058,80,0, ,1/2-, ,STABLE, , , , , , , , , , , , , ,1/2,-0.28318884, , , ,-2754.166,491,-15977.66,3,-10991.18,1,-9771.705,8,10833.30,0,10207.42,0,7699.46,0,15000108.89894,65,101.43871,59,
7,10,N,,,0, ,1/2-, ,4.173,4,s,4.173,0.004,B-,100, ,B-N,95.1,0.7,B-A,0.0025, ,3/2, , , , ,8678.842,15000,4535.76,15,-11116.78,15,-13161.819,23,5885.15,15,13113.02,15,7286.229,882,17008448.877,16103,7870.079,15000,
7,12,N,,,0, , , ,271,8,ms,0.271,0.008,B-,100, ,B-N,54.6,1.4, , , , , , , , ,12523.424,16614,8567.78,16,-15526.88,27,-16557.47,100,5328.20,25,16351.95,34,6948.543,863,19017022.419,17610,15856.282,16404,
7,14,N,,,0, ,(1/2-), ,84,7,ms,0.084,0.007,B-,100, ,B-N,86,4, , , , , , , , ,17169.878,134584,13364.42,134,-20909.32,244,-20411.087,611,4605.90,156,19560.62,267,6609.015,6383,21027087.573,143906,25231.913,134048,
7,16,N,,,0, , , ,14.1,15,ms,0.0141,0.0015,B-,100, ,B-N,42,6,B-2N,8,4, , , , , ,22099.056,437827,19366.07,424,-25474.73,673,,,3115.69,469,24179.74,480,6236.671,18286,23039421,451500,36720.425,420570,
8,5,O,,,0, ,(3/2-), ,8.58,5,ms,0.00858,0.00005,B+P,100, ,EC+B+,100, , , , ,3/2, , , , ,,,,,-8220.46,10,17769.951,10,16870.50,26,1511.61,10,5811.763,733,13024815.437,10226,23115.432,9526,
8,7,O,,,0, ,1/2-, ,122.24,16,s,122.24,0.16,EC+B+,100, , , , , , , ,1/2,0.7189, , , ,-13711.146,14009,-37180.11,41,-10218.71,49,2754.166,491,13223.49,49,7296.78,49,7463.692,33,15003065.618,526,2855.605,491,
