Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
14,15,Si,3.1176,52,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,-0.55529, , , ,-4942.23,359,-22818.66,114,-11127.21,5,-3687.318,345,8473.60,0,12333.40,8,8448.635,0,28976494.66525,59,-21895.07838,55,
14,17,Si,,,0, ,3/2+, ,157.36,26,m,9442,16,B-,100, , , , , , , , , , , , ,1491.505,43,-10819.50,7,-10787.34,7,-7998.33,223,6587.39,4,14373.16,289,8458.291,1,30975363.194,46,-22949.036,43,
14,19,Si,,,0, ,3/2+, ,6.11,21,s,6.11,0.21,B-,100, , , , , , , , ,1.21, , , ,5823.021,1295,-4280.77,70,-12336.41,11,-12016.945,7,4507.96,76,16703.93,7,8361.059,21,32977976.964,750,-20514.325,699,
14,21,Si,,,0, ,(7/2)-, ,0.78,12,s,0.78,0.12,B-,100, ,B-N,5, , , , , ,-1.638, , , ,10466.342,35905,2085.92,36,-13694.22,36,-14167.729,37,2505.92,39,18680.14,36,8169.563,1024,34984550.134,38494,-14391.457,35857,
14,23,Si,,,0, ,(5/2-), ,90,60,ms,0.09,0.06,B-,100, ,B-N,17,13,B-2N, , , , , , , ,12424.486,119969,5608.21,115,-13958.72,114,-16381.074,213,2206.70,135,19810.87,188,7952.903,3076,36992945.191,122179,-6571.511,113809,
14,25,Si,,,0, ,(5/2-), ,47.5,20,ms,0.0475,0.002,B-,100, ,B-2N, , ,B-N, , , , , , , ,15094.986,176232,8870.60,154,-15744.35,302,-18329.648,422,1580.67,171,21178.48,398,7730.979,3475,39002491,145500,2320.352,135532,
14,27,Si,,,0, , , ,20.0,25,ms,0.02,0.002,B-,100, ,B-N,0, , , , , , , , , ,17099.435,567571,12162.72,576,-18516.72,892,-21300.332,747,1381.33,653,22759,684,7508.573,13529,41013011,595500,12119.668,554705,
14,29,Si,,,0, , ,GT,60, ,ns,0.00000006, ,B-2N, , ,B-N, , ,B-, , , , , , , ,18421,814,14020,674,-21599,786,-23919.0,998,1440,778,24288,846,7279,14,43024800,640,23101,596,
15,10,P,,,0, ,(1/2+),LT,30, ,ns,0.00000003, ,P,100, , , , , , , , , , , , ,,,,,-9677,718,15910.676,401,21652,643,-1704,401,6812,16,25021190,430,19738,401,
15,12,P,,,0, ,1/2+, ,260,80,ms,0.26,0.08,EC+B+,100, ,B+P,0.07, , , , , , , , , ,-17750,400,-35872,597,-9895.44,26,11662.045,26,19767,197,870.41,26,7663.438,976,26999224.409,28277,-722.458,26340,
15,14,P,,,0, ,1/2+, ,4.142,15,s,4.142,0.015,EC+B+,100, , , , , , , , ,1.2346, , , ,-13796.432,50001,-29097.37,160,-10461.79,36,4942.23,35,17876.43,121,2749.02,36,8251.236,12,28981800.368,385,-16952.848,359,
15,16,P,3.1889,19,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,1.130903, , , ,-5398.016,229,-18452.60,21,-9668.6,5,-1491.505,43,12311.00,7,7296.55,2,8481.167,0,30973761.99863,72,-24440.54095,67,
15,18,P,,,0, ,1/2+, ,25.35,11,d,2190240,9500,B-,100, , , , , , , , , , , , ,248.508,1090,-8393.13,109,-10554.5,113,-5823.021,1295,10103.79,109,9548.63,112,8513.806,33,32971725.694,1170,-26337.346,1090,
15,20,P,,,0, ,1/2+, ,47.3,8,s,47.3,0.8,B-,100, , , , , , , , , , , , ,3988.407,1867,-2997.43,187,-12332.01,291,-10466.342,36,8380.42,202,12189.92,14,8446.249,53,34973314.053,2003,-24857.799,1866,
15,22,P,,,0, ,(1/2+), ,2.31,13,s,2.31,0.13,B-,100, , , , , , , , , , , , ,7900.419,37947,3596.82,38,-12923.53,39,-12424.487,120,6816.28,40,13848.84,81,8267.555,1026,36979606.956,40738,-18995.998,37948,
15,24,P,,,0, ,(1/2+), ,0.28,4,s,0.28,0.04,B-,100, ,B-N,26,8, , , , , , , , ,10388.033,123243,6015.25,113,-14975.82,113,-15094.986,176,6224.39,134,15893.31,154,8097.969,2888,38986285.865,120929,-12774.634,112645,
15,26,P,,,0, , , ,101,5,ms,0.101,0.005,B-,100, ,B-N,30,10, , , , , , , , ,14028.81,120233,9786.76,120,-17214.25,217,-17099.435,568,4936.71,195,17698.42,365,7906.551,2931,40994654,129000,-4979.767,120163,
15,28,P,,,0, ,1/2+, ,36.5,15,ms,0.0365,0.0015,B-N,100, ,B-,100, ,B-2N, , , , , , , ,16875.285,554727,14246.25,555,-18395,684,-18421.174,814,4401.23,638,19079,747,7689.572,12900,43005024,595500,4679.826,554705,
15,30,P,,,0, , ,GT,200, ,ns,0.0000002, ,B-, , , , , , , , , , , , , ,19589,1150,16733,500,-20245,707,,,2922,707,20202,778,7464,11,45016747,537,15600,500,
16,11,S,,,0, ,(5/2+), ,15.5,15,ms,0.0155,0.0015,EC+B+,100, ,B+P,2.3,0.9,B+2P,1.1,0.5, , , , , ,,,,,-9095,643,17750.458,402,18122,718,1234,446,6977,15,27018280,430,17028,401,
16,13,S,,,0, ,(5/2+), ,188,4,ms,0.188,0.004,EC+B+,100, ,ECP,47,5, , , , , , , , ,-16318.592,195192,-38744,598,-9408.65,51,13796.432,50,15300.94,168,3297.65,50,7748.52,1724,28996611.448,53677,-3156.416,50000,
16,15,S,,,0, ,1/2+, ,2.5534,18,s,2.5534,0.0018,EC+B+,100, , , , , , , , ,0.48793, , , ,-12007.974,3454,-31557,196,-9082.94,25,5398.016,229,13054.59,31,6130.64,24,8281.8,7,30979557.007,246,-19042.525,229,
16,17,S,,,0, ,3/2+, ,STABLE, , , , , , , , , , , , , ,1/2,0.6438212, ,-0.084, ,-5582.517,391,-21322.50,56,-7115.69,0,-248.508,109,8641.64,0,9569.95,4,8497.63,0,32971458.90985,145,-26585.85434,135,
16,19,S,,,0, ,3/2+, ,87.37,4,d,7548770,3460,B-,100, , , , , , , , ,1, ,0.0471, ,167.322,26,-12477.44,5,-8322.09,6,-3988.407,1866,6985.84,4,11586.48,81,8537.85,1,34969032.322,43,-28846.206,40,
16,21,S,,,0, ,7/2-, ,5.05,2,m,303,1.2,B-,100, , , , , , , , , , , , ,4865.121,196,-5445.73,20,-8807.01,73,-7900.419,38,4303.60,6,13934.35,13,8459.935,5,36971125.507,212,-26896.417,198,
16,23,S,,,0, ,(7/2)-, ,11.5,5,s,11.5,0.5,B-,100, , , , , , , , , , , , ,6637.538,50030,-1435.88,50,-11196.13,62,-10388.033,123,4372.78,51,15830.07,88,8344.269,1282,38975133.852,53677,-23162.667,50000,
16,25,S,,,0, , , ,1.99,5,s,1.99,0.05,B-,100, ,B-N, , , , , , , , , , ,8298.611,68846,477.92,32,-14861.98,114,-14028.81,120,4242.05,6,18183.18,154,8229.635,100,40979593.451,4400,-19008.577,4099,
16,27,S,,,0, ,(3/2-), ,265,15,ms,0.265,0.015,B-,100, ,B-N,40,10, , , , , , , , ,11964.049,62058,4564.99,60,-16940.73,136,-16875.285,555,2629.03,6,20494.17,314,8063.827,116,42986907.635,5335,-12195.459,4970,
16,29,S,,,0, , , ,68,2,ms,0.068,0.002,B-,100, ,B-N,54, , , , , , , , , ,14272.954,1044271,8323.62,1044,-18534.17,1175,-19589.589,1150,2856.67,1035,21729,1150,7881.807,23008,44995717,1111500,-3989.589,1035356,
17,12,Cl,,,0, ,(1/2+),LT,20, ,ns,0.00000002, ,P,100, , , , , , , , , , , , ,,,,,-9001,443,16318.592,195,22425,625,-1800.00,100,7158.832,6506,29014130.178,202555,13162.176,188680,
17,14,Cl,,,0, ,3/2+, ,190,1,ms,0.19,0.001,EC+B+,100, ,ECP,2.4,0.2, , , , , , , , ,-18360,200,-36037.01,206,-8737.01,27,12007.974,3,19549,196,264.27,3,7869.209,111,30992448.098,3700,-7034.551,3447,
17,16,Cl,,,0, ,3/2+, ,2.511,4,s,2.511,0.004,EC+B+,100, , , , , , , , ,0.7549, , , ,-11619.044,560,-26874.30,181,-6475.4,53,5582.517,391,15739.98,68,2276.77,39,8304.755,12,32977451.989,419,-21003.337,391,
17,18,Cl,3.3654,191,0, ,3/2+, ,STABLE, , , , , , , , , , , , , , ,0.8218743, ,-0.08249, ,-5966.243,679,-18706.56,8,-6997.9,4,-167.322,53,12644.76,5,6370.81,4,8520.278,1,34968852.694,38,-29013.528,35,
17,20,Cl,3.3840,170,0, ,3/2+, ,STABLE, , , , , , , , , , , , , , ,0.6841236, ,-0.06493, ,-813.873,200,-9601.32,6,-7849.11,109,-4865.121,205,10310.85,6,8386.38,19,8570.281,1,36965902.584,55,-31761.538,52,
17,22,Cl,,,0, ,3/2+, ,56.2,6,m,3372,36,B-,100, , , , , , , , , , , , ,3441.985,5292,-3156.70,174,-7367.32,254,-6637.538,50,8073.42,173,10227.97,7,8494.402,44,38968008.162,1859,-29800.205,1732,
17,24,Cl,,,0, ,(1/2+), ,38.4,8,s,38.4,0.8,B-,100, , , , , , , , , , , , ,5760.317,68724,-338.61,69,-10736.11,79,-8298.612,69,7820.69,76,11758.31,69,8412.959,1676,40970684.525,73777,-27307.189,68723,
17,26,Cl,,,0, ,(1/2+), ,3.13,9,s,3.13,0.09,B-,100, , , , , , , , , , , , ,7850.3,62086,2191.85,62,-13809.79,129,-11964.049,62,7399.06,86,13810.73,62,8323.866,1439,42974063.7,66407,-24159.508,61858,
17,28,Cl,,,0, ,(1/2+), ,413,25,ms,0.41,0.02,B-,100, ,B-N,24,4, , , , , , , , ,11508.254,136164,6339.40,136,-15707.69,182,-14272.954,1044,5949.34,193,16347.28,136,8181.598,3026,44980394.353,146177,-18262.543,136163,
17,30,Cl,,,0, , , ,101,6,ms,0.101,0.006,B-,100, ,B-N,3, , , , , , , , , ,15587,400,11922,400,-16884,684,-17150.0,640,3992,451,17409,640,7996,9,46989501,429,-9780,400,
17,32,Cl,,,0, , ,GE,170, ,ns,0.00000017, ,B-, , , , , , , , , , , , , ,18130,721,15150,674,-17085,781,-20153.0,897,2851,781,19111,846,7781,12,49001009,644,940,600,
18,13,Ar,,,0, ,5/2+, ,14.4,6,ms,0.0144,0.0006,EC,100, ,B+P,63, ,B+2P,7.2, , , , , , ,,,,,-8127,448,18359.551,200,17677,287,407,280,7252,6,31012158,215,11325,200,
18,15,Ar,3.3438,57,0, ,1/2+, ,173.0,20,ms,0.173,0.002,EC+B+,100, ,ECP,38.7,1, , , , ,-0.723, , , ,-16426,196,-38554,401,-8652.79,50,11619.045,56,15255.26,181,3338.59,69,7928.955,12,32989925.547,430,-9384.292,401,
18,17,Ar,3.3636,42,0, ,3/2+, ,1.7756,10,s,1.7756,0.001,EC+B+,100, , , , , , , , ,0.6322, ,-0.084, ,-11874.394,852,-29898,196,-6429.68,72,5966.244,681,12740.31,68,5896.17,68,8327.461,19,34975257.721,730,-23047.284,680,
18,19,Ar,3.3908,22,0, ,3/2+, ,35.011,19,d,3024950,1640,EC,100, , , , , , , , ,1.145, ,0.076, ,-6147.465,227,-21601.92,40,-6786.73,21,813.874,213,8787.44,21,8714.63,21,8527.139,6,36966776.314,221,-30947.664,207,
18,21,Ar,3.4093,31,0, ,7/2-, ,268,8,Y,8457256160,252455410,B-,100, , , , , , , , ,-1.588, ,-0.12, ,565,5000,-12512.75,5,-6820.9,5,-3441.985,5,6598.69,5,10733.06,5,8562.598,128,38964313.039,5367,-33242.190,5000,
18,23,Ar,3.4251,30,0, ,7/2-, ,109.61,4,m,6576.6,2.4,B-,100, , , , , , , , ,-1.309, ,-0.042, ,2492.038,347,-7603.33,35,-8596,40,-5760.316,69,6098.93,35,12798.66,32,8534.372,8,40964500.571,372,-33067.505,347,
18,25,Ar,3.4354,39,0, ,5/2(-), ,5.37,6,m,322,4,B-,100, , , , , , , , ,-1.021, ,0.142, ,4565.581,5325,-5059.10,5,-11272.06,50,-7850.3,62,5658.45,8,14467.01,60,8488.237,123,42965636.055,5700,-32009.808,5310,
18,27,Ar,,,0, ,5/2- 7/2-, ,21.48,15,s,21.48,0.15,B-,100, , , , , , , , , , , , ,6844.841,731,-2060.62,66,-13187.13,4,-11508.253,136,5168.86,166,16675.24,136,8419.952,11,44968039.733,550,-29770.796,512,
18,29,Ar,,,0, ,(3/2)-, ,1.23,3,s,1.23,0.03,B-,100, ,B-N,0.2, , , , , , , , , ,10345.638,1789,1976.27,133,-15595.79,5,-15586.338,400,3664.73,158,18795.91,209,8311.404,24,46972768.114,1200,-25366.338,1118,
18,31,Ar,,,0, , , ,170,50,ms,0.17,0.05,B-,100, ,B-N,65,20, , , , , , , , ,12422,400,7023,400,-15625,1110,-18130.0,721,2980,504,20199,640,8135,8,48981546,429,-17190,400,
19,14,K,,,0, , ,LT,25, ,ns,0.000000025, ,P, , , , , , , , , , , , , ,,,,,-8545,272,16426.292,196,22128,446,-1953,196,7407,6,33007560,210,7042,196,
19,16,K,,,0, ,(3/2)+, ,178,8,ms,0.178,0.008,EC+B+,100, ,ECP,0.37,0.15, , , , ,0.392, , , ,-15961,196,-33096,298,-6563.26,3,11874.393,851,18024,196,83.57,52,7965.84,15,34988005.407,550,-11172.891,512,
19,18,K,,0,0, ,3/2+, ,1.225,7,s,1.225,0.007,EC+B+,100, , , , , , , , ,0.20321, ,0.106, ,-11664.133,641,-26420.37,40,-6221.78,40,6147.465,227,15454.45,35,1857.63,9,8339.847,3,36973375.889,100,-24800.199,94,
19,20,K,3.4349,19,0, ,3/2+, ,STABLE, , , , , , , , , , , , , , ,0.39146616, ,0.0585, ,-6524.488,596,-19820.01,19,-7218.58,4,-565.0,5,13077.75,20,6381.34,19,8557.025,0,38963706.48661,492,-33807.19010,458,
19,22,K,3.4518,55,0, ,3/2+, ,STABLE, , , , , , , , , , , , , , ,0.21487009, ,0.0711, ,-421.653,138,-8784.48,2,-6222.92,5,-2492.038,347,10095.37,6,7808.62,0,8576.072,0,40961825.25796,408,-35559.54331,380,
19,24,K,3.4556,86,0, ,3/2+, ,22.3,1,h,80280,360,B-,100, , , , , , , , ,0.1633, , , ,1833.434,469,-6099.46,44,-9200.1,178,-4565.581,5,9624.68,42,9441.68,6,8576.22,10,42960734.703,440,-36575.389,410,
19,26,K,3.4605,118,0, ,3/2+, ,17.81,61,m,1069,37,B-,100, , , , , , , , ,0.1734, , , ,4196.536,637,-3218.28,61,-11733.36,69,-6844.842,731,8905.46,67,11231.35,167,8554.674,12,44960691.493,560,-36615.638,522,
19,28,K,3.4534,138,0, ,1/2+, ,17.50,24,s,17.5,0.24,B-,100, , , , , , , ,9/2,1.933, , , ,6632.442,2625,-643.93,264,-13977.38,62,-10345.638,1789,8369.37,157,13228.02,179,8514.879,30,46961661.614,1500,-35711.976,1397,
19,30,K,,0,0, ,(1/2+ 3/2+), ,1.26,5,s,1.26,0.05,B-,100, ,B-N,86,9, , , , , , , , ,11688.275,826,6541.82,81,-13773.86,136,-12421.49,400,5398.33,111,14619.12,307,8372.274,16,48968210.755,860,-29611.490,801,
20,15,Ca,,,0, ,(1/2+), ,25.7,2,ms,0.0257,0.0002,EC+B+,100, ,ECP,95.9,1.4,EC2P,4.1,0.6, , , , , ,,,,,-8962,280,15960.891,196,17135,357,1281,277,7487,6,35005140,210,4788,196,
20,17,Ca,,,0, ,(3/2+), ,181.1,10,ms,0.1811,0.001,EC+B+,100, ,ECP,82.1,0.7, , , , , , , , ,-16656,300,-36558,298,-6176.69,75,11664.133,641,14756.23,40,3007.97,72,8003.456,17,36985897.852,680,-13136.066,634,
20,19,Ca,3.4595,25,0, ,3/2+, ,860.3,10,ms,0.8603,0.001,EC+B+,100, , , , , , , , ,1.02168, ,0.036, ,-13109.993,24007,-31105,200,-6660.33,90,6524.488,596,13295.52,63,5770.92,63,8369.67,15,38970710.813,640,-27282.702,596,
20,21,Ca,3.4780,19,0, ,7/2-, ,9.94E+4,15,Y,3136758441870,47335388960,EC,100, , , , , , , , ,-1.594781, ,-0.0665, ,-6495.478,158,-22685.87,283,-6615.14,25,421.653,138,8362.82,14,8891.37,15,8546.706,3,40962277.921,147,-35137.890,138,
20,23,Ca,3.4954,19,0, ,7/2-, ,STABLE, , , , , , , , , , , , , , ,-1.31726, ,-0.0408, ,-2220.72,1865,-14358.99,20,-7591.55,5,-1833.433,469,7932.89,17,10675.77,25,8600.663,5,42958766.43,244,-38408.822,228,
20,25,Ca,3.4944,21,0, ,7/2-, ,162.61,9,d,14049500,7780,B-,100, , , , , , , , ,-1.3274, ,0.046, ,259.722,747,-11067.51,176,-10169.58,50,-4196.536,638,7414.82,17,12319.65,56,8630.545,8,44956186.326,392,-40812.174,366,
20,27,Ca,3.4783,23,0, ,7/2-, ,4.536,3,d,391910,260,B-,100, , , , , , , ,7/2,-1.38, ,0.021, ,1992.177,1185,-8654.52,231,-12759.53,6,-6632.442,2625,7276.37,27,14219.46,234,8639.349,47,46954541.394,2385,-42344.418,2222,
20,29,Ca,,,0, ,3/2-, ,8.718,6,m,523.1,0.4,B-,100, , , , , , , , ,-1.38, , , ,5261.5,2702,-4867.24,5,-13953.88,55,-11688.275,826,5146.45,18,16304.26,80,8594.844,4,48955662.875,216,-41299.765,201,
21,18,Sc,,,0, ,(7/2-),LT,300, ,ns,0.0000003, ,P,100, , , , , , , , , , , , ,-16373,202,-33114,301,-5424.73,24,13109.993,24,17995,202,-596.82,24,8013.456,615,38984784.97,25765,-14172.709,24000,
21,20,Sc,,,0, ,7/2-, ,596.3,17,ms,0.5963,0.0017,EC+B+,100, , , , , , , , ,5.4305, ,-0.156, ,-12944.875,27945,-27863.34,160,-6267.13,13,6495.478,161,16190.39,283,1085.00,8,8369.198,2,40969251.104,88,-28642.412,83,
21,22,Sc,3.5575,147,0, ,7/2-, ,3.891,12,h,14010,40,EC+B+,100, , , , , , , , ,4.528, ,-0.27, ,-6867.02,7481,-19154.75,187,-4805.83,186,2220.72,187,12138.27,186,4929.83,186,8530.825,43,42961150.472,1999,-36188.102,1863,
21,24,Sc,3.5459,25,0, ,7/2-, ,STABLE, , , , , , , , , , , , , , ,4.756487, ,-0.22, ,-2062.056,509,-11594.64,97,-7937.27,67,-259.722,768,11327.23,188,6892.19,73,8618.931,15,44955907.503,724,-41071.896,675,
21,26,Sc,,,0, ,7/2-, ,3.3492,6,d,289370,50,B-,100, , , , , , , ,5/2,5.34, ,-0.22, ,600.769,1929,-8280.11,193,-10186.12,198,-1992.177,2945,10646.69,204,8486.20,121,8665.09,41,46952402.704,2074,-44336.595,1933,
21,28,Sc,,,0, ,7/2-, ,57.18,13,m,3431,8,B-,100, , , , , , , , , , , , ,2002.522,2697,-6139.87,270,-12370.54,275,-5261.5,27,10128.74,6,9625.61,270,8686.256,55,48950014.423,2896,-46561.265,2698,
22,17,Ti,,,0, ,(3/2+), ,28.5,9,ms,0.0285,0.0009,ECP+EC2P,100, ,EC+B+,100, ,ECP,93.7, ,5/2, , , , ,,,,,-5013,280,16372.709,201,16741,361,839,283,7574,5,39002362,215,2200,200,
22,19,Ti,,,0, ,3/2+, ,81.9,5,ms,0.0819,0.0005,EC+B+,100, ,ECP,100, , , , , , , , , ,-16018,202,-35939,301,-4986.39,28,12944.875,28,14918.47,162,2463.17,28,8034.388,682,40983148,30000,-15697.537,27945,
22,21,Ti,,,0, ,7/2-, ,509,5,ms,0.509,0.005,EC+B+,100, ,ECP, , , , , , ,0.85, , , ,-11404.726,43457,-29773,196,-4463.3,7,6867.02,7,12287.73,7,4488.90,7,8352.932,168,42968522.521,7777,-29321.082,7245,
22,23,Ti,3.5939,32,0, ,7/2-, ,184.8,5,m,11088,30,EC+B+,100, , , , , , , ,1/2,0.095, ,0.015, ,-7123.824,214,-22964.78,182,-6296.87,85,2062.056,1082,9532.59,110,8482.83,195,8555.722,19,44958121.211,907,-39009.840,845,
22,25,Ti,3.5962,19,0, ,5/2-, ,STABLE, , , , , , , , , , , , , ,3/2,-1.1, ,-1.3, ,-2930.746,138,-15933.33,18,-8953.46,25,-600.769,1936,8880.88,13,10465.12,68,8661.227,2,46951757.752,123,-44937.364,115,
22,27,Ti,3.5733,21,0, ,7/2-, ,STABLE, , , , , , , , , , , , , ,5/2,-1.10417, ,0.247, ,-601.856,820,-12157.41,97,-10176.53,38,-2002.522,27,8142.40,3,11348.92,5,8711.157,2,48947864.627,122,-48563.787,114,
23,20,V,,,0, , , ,79.3,24,ms,0.0793,0.0024,EC+B+,100, ,ECP, , , , , , , , , , ,-15946,402,-32718,402,-6168.56,49,11404.726,43,18368,200,100.65,43,8069.512,996,42980766,46000,-17916.356,42849,
23,22,V,,,0, ,7/2-, ,547,6,ms,0.547,0.006,EC+B+,100, , , , , , , , , , , , ,-12371.217,35408,-26597,300,-5668.52,88,7123.824,1214,15840.95,182,1626.42,112,8380.029,19,44965768.951,935,-31886.016,872,
23,24,V,,,0, ,3/2-, ,32.6,3,m,1956,18,EC+B+,100, , , , , , , , , , , , ,-7444.04,6032,-20606.37,11,-8243.43,187,2930.746,204,13002.58,11,5167.79,7,8582.225,4,46954904.038,181,-42006.618,169,
23,26,V,,,0, ,7/2-, ,330,15,d,28512000,1296000,EC,100, , , , , , , ,3/2,4.47, , , ,-2628.871,2391,-13211.23,7,-9314.95,106,601.856,836,11555.55,127,6758.19,82,8682.908,17,48948510.746,889,-47961.931,828,
24,19,Cr,,,0, ,(3/2+), ,21.2,7,ms,0.0212,0.0007,EC+B+,100, ,ECP,79.3,3,EC2P,11.6,1, , , , , ,,,,,-6595,447,15946.356,402,16771,565,1639,445,7680,9,42997885,429,-1970,400,
24,21,Cr,,,0, ,(7/2-), ,60.9,4,ms,0.0609,0.0004,B+,100, ,B+P,34.4,0.8, , , ,3/2, , , , ,-14265,401,-34616,501,-6242.18,45,12371.217,35,14226,302,2687.39,185,8087.728,787,44979050,38000,-19514.799,35397,
24,23,Cr,,,0, ,3/2-, ,500,15,ms,0.5,0.015,EC+B+,100, , , , , , , , , , , , ,-11996.204,32240,-30064,400,-7666.41,9,7444.04,6,13162.33,13,4776.20,6,8407.195,128,46962895.544,6473,-34562.578,6030,
24,25,Cr,,,0, ,5/2-, ,42.3,1,m,2538,6,EC+B+,100, , , , , , , ,1/2,0.476, , , ,-7712.426,233,-24108.04,7,-8748.14,240,2628.871,2391,10582.36,8,8144.34,245,8613.291,46,48951332.955,2407,-45333.060,2243,
25,20,Mn,,,0, , , , , , , , , , , , , , , , , , , , , , ,-19012,565,,,-7995,447,14264.799,402,20351,640,-822,500,7753,9,44994364,429,-5250,400,
25,22,Mn,,,0, ,(5/2-), ,100,50,ms,0.1,0.05,EC+B+,100, ,ECP,3.4,0.9, , , , , , , , ,-15697,501,-31548,501,-7074.93,53,11996.204,32,18068,401,383.78,34,8135.311,674,46975774,34000,-22566.374,31671,
25,24,Mn,,,0, ,5/2-, ,382,7,ms,0.382,0.007,EC+B+,100, , , , , , , ,1/2, , , , ,-12869.907,24324,-27692,400,-8159.53,242,7712.426,3,16395.61,7,2087.58,8,8439.929,46,48959612.585,2420,-37620.634,2255,
26,19,Fe,,,0, ,(3/2+), ,1.89,+49-21,ms,0.00189, ,2P,57,10,B+P,43,10,EC+B+,43,10, , , , , ,,,,,,,19012.0,566,,,557,640,7313,9,45014774,429,13762,400,
26,21,Fe,,,0, ,(7/2-), ,21.8,7,ms,0.0218,0.0007,EC+B+,100, ,ECP,0, ,EC2P, , , , , , , ,-17240,781,,,-7325,640,15696.374,501,15851,707,1589,640,7785,11,46992625,537,-6870,500,
26,23,Fe,,,0, ,(7/2-), ,64.7,3,ms,0.0647,0.0003,EC+B+,100, ,B+P,56.7,0.4, , , ,3/2, , , , ,-14870,501,-34322,501,-7660.84,43,12869.907,24,14822,400,2743.36,25,8161.311,494,48973429,26000,-24750.727,24219,
28,21,Ni,,,0, , , ,7.5,10,ms,0.0075,0.001,EC+B+,100, ,B+P,83,13, , , , , , , , ,,,,,-7987,721,18080.0,781,16665,782,589,781,7457,12,49008803,644,8200,600,

