,0.05124,14.860,1.952,2.409E-03,1.104E-11,1.479E-02,5.948E-02,4.880E-02,5.565E-02,5.750E-02,4.320E-02,2.077E-02,7.744E-03
,0.05475,14.753,1.944,2.755E-03,1.030E-11,1.675E-02,5.750E-02,4.796E-02,5.467E-02,5.611E-02,4.543E-02,2.317E-02,9.021E-03
,0.05821,14.643,1.937,2.923E-03,9.548E-12,1.756E-02,5.110E-02,4.349E-02,4.959E-02,5.047E-02,4.408E-02,2.394E-02,9.721E-03
,0.06146,14.536,1.929,3.012E-03,8.862E-12,1.787E-02,4.418E-02,3.840E-02,4.380E-02,4.417E-02,4.159E-02,2.399E-02,1.015E-02
,0.06455,14.431,1.922,3.103E-03,8.221E-12,1.814E-02,3.820E-02,3.397E-02,3.874E-02,3.870E-02,3.920E-02,2.401E-02,1.057E-02
,0.06751,14.329,1.915,3.195E-03,7.618E-12,1.840E-02,3.300E-02,3.009E-02,3.431E-02,3.393E-02,3.692E-02,2.400E-02,1.098E-02
,0.07037,14.228,1.908,3.290E-03,7.061E-12,1.864E-02,2.851E-02,2.667E-02,3.041E-02,2.974E-02,3.477E-02,2.396E-02,1.138E-02
,0.07315,14.128,1.901,3.388E-03,6.535E-12,1.886E-02,2.460E-02,2.364E-02,2.695E-02,2.608E-02,3.272E-02,2.390E-02,1.178E-02
,0.07586,14.029,1.894,3.490E-03,6.046E-12,1.907E-02,2.121E-02,2.096E-02,2.390E-02,2.285E-02,3.077E-02,2.383E-02,1.217E-02
,0.07852,13.931,1.887,3.595E-03,5.587E-12,1.926E-02,1.825E-02,1.858E-02,2.118E-02,2.000E-02,2.892E-02,2.373E-02,1.256E-02
,0.08113,13.833,1.880,3.705E-03,5.157E-12,1.944E-02,1.568E-02,1.645E-02,1.876E-02,1.750E-02,2.715E-02,2.362E-02,1.295E-02
,0.08371,13.736,1.873,3.820E-03,4.755E-12,1.961E-02,1.345E-02,1.456E-02,1.660E-02,1.529E-02,2.548E-02,2.349E-02,1.335E-02
,0.08626,13.638,1.866,3.941E-03,4.377E-12,1.977E-02,1.151E-02,1.287E-02,1.467E-02,1.334E-02,2.388E-02,2.335E-02,1.374E-02
,0.08880,13.541,1.859,4.067E-03,4.025E-12,1.992E-02,9.833E-03,1.136E-02,1.296E-02,1.162E-02,2.237E-02,2.319E-02,1.413E-02
